"(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y","(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y","(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y","(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y","(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y","(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y","(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y","(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y","(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y","(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y","(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y","(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y","(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y","(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y"
24.27835023,74.67376757,24.17966455,81.53453318,24.07269123,86.79826423,23.96363281,91.02504024,23.85608645,94.66000584,23.75193798,97.98610057,23.65210696,101.1650471,23.55700799,104.2846573,23.46679601,107.3916177,23.38148559,110.5107407,23.30100683,113.6554638,23.22523287,116.8333685,23.15399574,120.0490229,23.08709773,123.3054295
22.93105934,76.56053337,22.76568431,83.73855149,22.56740864,89.23225728,22.35272647,93.63689935,22.1332464,97.41205103,21.91650977,100.8473569,21.70715687,104.1093655,21.5078738,107.2902346,21.32005642,110.4405578,21.14425586,113.5884855,20.98047599,116.7501822,20.82837377,119.9353849,20.68739545,123.150327,20.55686941,126.399273
20.46713094,79.06774984,20.11513196,86.26023015,19.73680898,91.69082877,19.35933859,96.0072522,18.99819119,99.6836581,18.66096033,103.0134571,18.35052389,106.1650104,18.06712424,109.2320108,17.80961833,112.2663156,17.57619762,115.2969534,17.36479284,118.3405783,17.17329688,121.4070968,16.99968353,124.5026751,16.84206661,127.6313507
16.78841879,80.18976006,16.34769038,87.15241121,15.91113754,92.34612018,15.50125961,96.4453082,15.12735389,99.92260791,14.79141064,103.0660489,14.49184895,106.0400949,14.22557731,108.9360066,13.98904491,111.8039921,13.77874374,114.671784,13.59142752,117.5549039,13.42418965,120.4622235,13.27447376,123.3989545,13.1400538,126.3682576
13.02668823,79.18060137,12.65283709,85.90690884,12.29553465,90.89190008,11.96918491,94.81018282,11.67790311,98.12474883,11.4207728,101.1160746,11.19479228,103.9440676,10.99634085,106.6972873,10.82184473,109.4241934,10.66804475,112.151247,10.53207694,114.8929575,10.41147057,117.6573479,10.30411349,120.4489008,10.20820749,123.2701433
10.00908865,76.53013411,9.752709494,83.08858428,9.508710996,87.94370375,9.286993816,91.75589162,9.090061322,94.97565041,8.916965498,97.87595661,8.765408408,100.6127583,8.632747378,103.272585,8.516432731,105.9028186,8.414172519,108.5292991,8.323973355,111.1661371,8.244128996,113.8210716,8.173189822,116.4983657,8.109927845,119.2003674
7.844839709,73.01193684,7.688292694,79.43177351,7.53623874,84.20044791,7.396580194,87.9533867,7.271742124,91.12433279,7.161567091,93.9770263,7.064838606,96.66286679,6.980013522,99.26634428,6.905548332,101.834041,6.840029446,104.3915754,6.782213206,106.9530895,6.73102666,109.5264514,6.685552878,112.116081,6.645011576,114.7244805
6.339533882,69.18301462,6.251560429,75.4413895,6.161888857,80.12104483,6.077384341,83.82308373,6.000656721,86.95888473,5.932239253,89.77980441,5.871742308,92.43107122,5.818421995,94.99439822,5.771446049,97.51531065,5.730010538,100.0191905,5.693385453,102.5203066,5.660927471,105.0267939,5.632078291,107.5433741,5.606357213,110.0728405
5.279061967,65.3151064,5.234741459,71.36033351,5.184889612,75.91919455,5.135650268,79.55162692,5.089726474,82.64158326,5.048079452,85.42479868,5.010839216,88.03842197,4.977766343,90.56031981,4.948478404,93.03438205,4.922557584,95.48545056,4.899599546,97.9277668,4.879233659,100.3696575,4.86112949,102.8161131,4.84499689,105.2702059
4.507437618,61.49399393,4.490367031,67.26685503,4.465668622,71.66105861,4.438886395,75.19142855,4.412699744,78.21096241,4.388291608,80.93723235,4.366091223,83.497638,4.34616048,85.96514425,4.32839085,88.38134393,4.312602545,90.77011957,4.298593806,93.1454129,4.286164823,95.51555975,4.275128733,97.88569174,4.265316045,100.2590683
