"(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y","(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y","(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y","(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y","(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y","(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y","(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y","(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y","(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y","(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y","(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y","(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y","(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y","(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y"
24.27835023,0.144869144,24.17966455,0.14310976,24.07269123,0.143846535,23.96363281,0.145621244,23.85608645,0.147656016,23.75193798,0.149544785,23.65210696,0.151087686,23.55700799,0.152200226,23.46679601,0.152862494,23.38148559,0.153090211,23.30100683,0.152917888,23.22523287,0.152388876,23.15399574,0.15154943,23.08709773,0.15044519
22.93105934,0.472779515,22.76568431,0.464273374,22.56740864,0.463420663,22.35272647,0.465634726,22.1332464,0.468536674,21.91650977,0.470936281,21.70715687,0.472288346,21.5078738,0.472397407,21.32005642,0.471254936,21.14425586,0.46894844,20.98047599,0.465610244,20.82837377,0.461388559,20.68739545,0.456431324,20.55686941,0.450877501
20.46713094,1.407806274,20.11513196,1.364846556,19.73680898,1.342708588,19.35933859,1.328976943,18.99819119,1.317553845,18.66096033,1.305597487,18.35052389,1.291935755,18.06712424,1.276239077,17.80961833,1.258587471,17.57619762,1.239243933,17.36479284,1.218536601,17.17329688,1.196798693,16.99968353,1.174339359,16.84206661,1.151431149
16.78841879,3.583916224,16.34769038,3.403792617,15.91113754,3.278635006,15.50125961,3.179715821,15.12735389,3.093161201,14.79141064,3.012414936,14.49184895,2.934517301,14.22557731,2.858260813,13.98904491,2.783272846,13.77874374,2.709558672,13.59142752,2.637274803,13.42418965,2.566618351,13.27447376,2.497775248,13.1400538,2.430898385
13.02668823,7.536886911,12.65283709,7.010669026,12.29553465,6.617881501,11.96918491,6.29951405,11.67790311,6.025812945,11.4207728,5.781337638,11.19479228,5.557777555,10.99634085,5.350450864,10.82184473,5.156567282,10.66804475,4.97434844,10.53207694,4.802572549,10.41147057,4.640333319,10.30411349,4.486909599,10.20820749,4.341693581
10.00908865,13.3560871,9.752709494,12.22920546,9.508710996,11.3720756,9.286993816,10.67819169,9.090061322,10.09093343,8.916965498,9.578574314,8.765408408,9.122270353,8.632747378,8.710131183,8.516432731,8.334196968,8.414172519,7.988839392,8.323973355,7.669881528,8.244128996,7.374092979,8.173189822,7.098888179,8.109927845,6.842138928
7.844839709,20.80284749,7.688292694,18.85447196,7.53623874,17.3624533,7.396580194,16.15836501,7.271742124,15.14903005,7.161567091,14.27977296,7.064838606,13.51653917,6.980013522,12.83688192,6.905548332,12.2252304,6.840029446,11.67029425,6.782213206,11.16357389,6.73102666,10.69846673,6.685552878,10.26970796,6.645011576,9.873007056
6.339533882,29.58996907,6.251560429,26.65842085,6.161888857,24.40367991,6.077384341,22.58661253,6.000656721,21.0711356,5.932239253,19.77508489,5.871742308,18.64593537,5.818421995,17.64831593,5.771446049,16.75729926,5.730010538,15.95462562,5.693385453,15.22647817,5.660927471,14.56211383,5.632078291,13.95298658,5.606357213,13.39216562
5.279061967,39.50473368,5.234741459,35.47640003,5.184889612,32.36522529,5.135650268,29.85734789,5.089726474,27.77035432,5.048079452,25.99192232,5.010839216,24.44903175,4.977766343,23.09185718,4.948478404,21.8849513,4.922557584,20.8021907,4.899599546,19.82374525,4.879233659,18.93418284,4.86112949,18.12123852,4.84499689,17.37498785
4.507437618,50.40670444,4.490367031,45.1996754,4.465668622,41.16097463,4.438886395,37.90101754,4.412699744,35.18954797,4.388291608,32.88265472,4.366091223,30.88561872,4.34616048,29.13318719,4.32839085,27.57861552,4.312602545,26.18729573,4.298593806,24.93288579,4.286164823,23.79486107,4.275128733,22.75690828,4.265316045,21.80583813
