"(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y","(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y","(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y","(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y","(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y","(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y","(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y","(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y","(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y","(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y","(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y","(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y","(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y","(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""gm"") / OP(""M0"" ""gds"")) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y"
-23.14714701,103.7865247,-23.066887,107.9420137,-22.9909246,111.8626449,-22.91741466,115.5870094,-22.8460155,119.1399926,-22.77679229,122.5391821,-22.70988602,125.7982668,-22.64542041,128.9287303,-22.58348114,131.940662,-22.52411558,134.8431391,-22.46733748,137.6444134,-22.41313234,140.3520111,-22.36146232,142.9727987,-22.31227061,145.5130354
-22.05486858,107.3922775,-21.88418642,111.8999451,-21.71482248,116.0373857,-21.54658759,119.8735697,-21.38095805,123.4548469,-21.2196199,126.8159603,-21.06396049,129.9848725,-20.91494905,132.9849462,-20.77316684,135.8360377,-20.63888314,138.5551452,-20.51213484,141.1568671,-20.39279451,143.6537653,-20.28062375,146.0566694,-20.17531312,148.374935
-19.92755479,111.2414501,-19.55733824,115.5209233,-19.21710762,119.3406525,-18.90115095,122.8026201,-18.60771392,125.9770903,-18.3360039,128.9159972,-18.08520682,131.6592788,-17.85427023,134.2383362,-17.64193913,136.6781952,-17.44684858,138.9989967,-17.2676073,141.2170845,-17.10285665,143.3458227,-16.95130678,145.3962186,-16.8117557,147.3774028
-16.60838836,110.3619093,-16.12969295,114.0804438,-15.71632467,117.3717338,-15.35130571,120.3336997,-15.02610233,123.0380545,-14.73527432,125.5379409,-14.47462461,127.8731188,-14.2405856,130.0736401,-14.03002324,132.1624775,-13.84016981,134.1574053,-13.66858911,136.0723481,-13.51314614,137.9183489,-13.37197586,139.7042695,-13.2434516,141.4373011
-13.06886119,103.1704619,-12.63725962,106.5800512,-12.27688677,109.6179415,-11.96695119,112.3608536,-11.69664956,114.8721641,-11.4591312,117.2004564,-11.24936233,119.3820976,-11.06333126,121.4442486,-10.89772153,123.4073595,-10.7497506,125.2870318,-10.61706974,127.0953515,-10.49769005,128.8418289,-10.38992269,130.5340622,-10.29232933,132.1782082
-10.12658873,92.03854521,-9.80580166,95.51325276,-9.541681852,98.63126084,-9.316864313,101.4561866,-9.122364552,104.0466889,-8.952550343,106.4494517,-8.803361042,108.6999914,-8.671627726,110.8250802,-8.554780575,112.8450305,-8.450698421,114.7754644,-8.357614902,116.6285961,-8.274050905,118.4141368,-8.198762121,120.1399331,-8.130697044,121.8124193
-7.965828473,80.08439076,-7.748090563,83.78504318,-7.569117191,87.1209029,-7.4168174,90.15071771,-7.285025536,92.93123631,-7.169913324,95.50872842,-7.06873461,97.91906085,-6.979351065,100.1897362,-6.900030105,102.3419677,-6.829341971,104.3923337,-6.766096002,106.3539966,-6.709294956,108.2375755,-6.658099627,110.0517679,-6.611800552,111.803796
-6.446420424,69.1685192,-6.303797786,73.05860422,-6.185809116,76.58229148,-6.084760979,79.79437942,-5.99682656,82.74855034,-5.91965356,85.48934804,-5.85154752,88.05193215,-5.791174601,90.463747,-5.737441072,92.74632338,-5.689434565,94.91675649,-5.646388264,96.98881711,-5.607654921,98.97376128,-5.572686257,100.8809167,-5.541016117,102.71811
-5.375537976,59.87356594,-5.28302223,63.84046551,-5.205519343,67.4560619,-5.138381459,70.76903848,-5.079394893,73.82772848,-5.027219489,76.67295713,-4.980876783,79.33753026,-4.939576683,81.84749287,-4.902654503,84.22360035,-4.869543522,86.48256824,-4.839758877,88.63803441,-4.812885359,90.70127394,-4.788567048,92.68172558,-4.76649832,94.58738092
-4.601434349,52.12759685,-4.541564137,56.05979827,-4.490483864,59.66923797,-4.445516792,62.99681578,-4.405489681,66.08408661,-4.369713948,68.96686492,-4.337671851,71.67444921,-4.308923364,74.23047351,-4.283080322,76.65404144,-4.259799068,78.96073431,-4.238776963,81.16340902,-4.219748983,83.27280281,-4.2024839,85.29798604,-4.186780301,87.24670145
