(OP("M0" "vgs") - OP("M0" "vth")) vs (OP("M0" "gm") / OP("M0" "id")) X,(OP("M0" "vgs") - OP("M0" "vth")) vs (OP("M0" "gm") / OP("M0" "id")) Y
-22.58348114,0.02214692601103957
-20.77316684,-0.027853074
-17.64193913,-0.077853074
-14.03002324,-0.127853074
-10.89772153,-0.177853074
-8.554780575,-0.227853074
-6.900030105,-0.277853074
-5.737441072,-0.327853074
-4.902654503,-0.377853074
-4.283080322,-0.427853074
-3.806817244,-0.477853074
-3.428731893,-0.527853074
-3.120232523,-0.577853074
-2.862774064,-0.627853074
-2.643943822,-0.677853074
-2.455135744,-0.727853074
-2.290158552,-0.777853074
,
750nm,
